request_id,target_word,old_score,new_score,delta,new_norm,new_dtw,alignment_mode,used_action_window,standard_full_length,query_full_length,standard_action_length,query_action_length,old_standard_action_length,old_query_action_length,query_json,standard_json,error
web_20260523_020555_09843ad1,跳,77.20913253035371,77.20913253035371,0.0,0.05469405722988212,0.030855093660109682,semantic_action_window,True,19,19,9,9,9,9,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020555_09843ad1/holistic/user_跳_web_20260523_020555_09843ad1_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_015835_2dfac551,花,16.105046429392765,25.758503187590232,9.653456758197468,0.16276864710143632,0.01046836943417827,full_sequence_with_action_window_diagnostics,False,53,15,15,6,15,6,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015835_2dfac551/holistic/user_花_web_20260523_015835_2dfac551_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_015816_3c06955d,花,42.44982283222759,66.47914129457652,24.029318462348932,0.04899383427270815,0.007766227605318369,full_sequence_with_action_window_diagnostics,False,53,30,15,8,15,8,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015816_3c06955d/holistic/user_花_web_20260523_015816_3c06955d_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_015755_80a348dd,花,47.89787395988078,63.99672769975333,16.098853739872546,0.0535605880352329,0.008249232970599716,full_sequence_with_action_window_diagnostics,False,53,30,15,8,15,8,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015755_80a348dd/holistic/user_花_web_20260523_015755_80a348dd_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_015736_2678050f,花,44.034384909632614,69.50721709330243,25.472832183669816,0.04364875148874761,0.014796312176654173,full_sequence_with_action_window_diagnostics,False,53,30,15,12,15,12,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015736_2678050f/holistic/user_花_web_20260523_015736_2678050f_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/花/花_holistic_results.json,
web_20260523_015727_2cb1fbe6,跳,69.38912427350296,77.20913253035371,7.820008256850755,0.05469405722988212,0.030855093660109682,semantic_action_window,True,19,19,9,9,9,9,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015727_2cb1fbe6/holistic/user_跳_web_20260523_015727_2cb1fbe6_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_015650_c394e067,跳,63.27777934083104,71.72454985727286,8.446770516441823,0.06849267816926108,0.03455200588986544,semantic_action_window,True,19,19,9,9,9,9,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_015650_c394e067/holistic/user_跳_web_20260523_015650_c394e067_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run3/all_demo_step2_worker_cache_semantic_v1/results/跳/跳_holistic_results.json,
web_20260523_011135_5967dd5a,跳,10.314502285252138,7.191835618612109,-3.1226666666400282,0.47380027414032205,0.3441269398233063,semantic_action_window,True,10,30,6,8,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_011135_5967dd5a/holistic/user_跳_web_20260523_011135_5967dd5a_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_011122_fb34e3e5,跳,11.705423102583957,6.377253383289649,-5.328169719294308,0.49543788339206996,0.41074908529010534,semantic_action_window,True,10,30,6,8,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_011122_fb34e3e5/holistic/user_跳_web_20260523_011122_fb34e3e5_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_010234_e2d59e5e,跳,6.617128910295234,5.649884979006784,-0.9672439312884498,0.5172362997722778,0.43058110091338075,semantic_action_window,True,10,45,6,13,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010234_e2d59e5e/holistic/user_跳_web_20260523_010234_e2d59e5e_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_010215_ab4961d9,花,65.88345027708338,64.97832966705977,-0.9051206100236158,0.0517339633700052,0.012741095971606376,full_sequence_with_action_window_diagnostics,False,28,30,10,12,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010215_ab4961d9/holistic/user_花_web_20260523_010215_ab4961d9_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_010203_88bdaf53,花,12.224539551856699,15.26446253453187,3.0399229826751704,0.2255571323311857,0.012609917574859653,full_sequence_with_action_window_diagnostics,False,28,30,10,10,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010203_88bdaf53/holistic/user_花_web_20260523_010203_88bdaf53_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_010014_049faf7d,跳,13.657820182422173,4.752874274450951,-8.904945907971221,0.5483557152965336,0.16929228748390823,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010014_049faf7d/holistic/user_跳_web_20260523_010014_049faf7d_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_010004_7eaf7ee3,跳,6.129902312308015,5.585443928944296,-0.5444583833637191,0.5193011287244244,0.44149166655875616,semantic_action_window,True,10,15,6,7,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_010004_7eaf7ee3/holistic/user_跳_web_20260523_010004_7eaf7ee3_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_005953_cdf0697d,跳,22.68942393689148,25.80095356857778,3.111529631686299,0.24385657224980337,0.06744230743430016,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005953_cdf0697d/holistic/user_跳_web_20260523_005953_cdf0697d_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_005941_0ec0ccab,跳,6.004243898470394,2.200006726649253,-3.804237171821141,0.6870077582509175,0.4250183250732106,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005941_0ec0ccab/holistic/user_跳_web_20260523_005941_0ec0ccab_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_005533_c97daf95,花,76.81318447659731,76.06364052516882,-0.7495439514284925,0.03283197849284583,0.010267620518349885,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005533_c97daf95/holistic/user_花_web_20260523_005533_c97daf95_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_005320_4bd5e0a3,花,79.34741521922126,78.39589021933331,-0.9515249998879511,0.02920784168130116,0.013506548305284985,full_sequence_with_action_window_diagnostics,False,28,27,10,11,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005320_4bd5e0a3/holistic/user_花_web_20260523_005320_4bd5e0a3_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_005246_dbadcd43,花,44.30725157955068,43.922751801842004,-0.38449977770867605,0.0987285283056783,0.010078165872181846,full_sequence_with_action_window_diagnostics,False,28,11,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_005246_dbadcd43/holistic/user_花_web_20260523_005246_dbadcd43_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_001152_83546751,跳,8.238104794656795,2.7538049609279485,-5.484299833728847,0.6465935895258786,0.43068368949273905,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001152_83546751/holistic/user_跳_web_20260523_001152_83546751_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_001113_b486eb41,跳,12.95461125489907,17.001055723484313,4.046444468585243,0.31894105364615805,0.12240312263862597,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001113_b486eb41/holistic/user_跳_web_20260523_001113_b486eb41_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_001100_dea381ee,跳,13.29847433981089,11.020312151147337,-2.2781621886635524,0.3969774102220297,0.21533446852934218,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001100_dea381ee/holistic/user_跳_web_20260523_001100_dea381ee_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_001048_5bcb9948,跳,10.128829432033834,3.3328054396925446,-6.79602399234129,0.6122440372132696,0.3768528979478913,semantic_action_window,True,10,15,6,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_001048_5bcb9948/holistic/user_跳_web_20260523_001048_5bcb9948_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/跳/跳_holistic_results.json,
web_20260523_000913_d5072c6f,花,30.1897206061909,75.7995262343358,45.6098056281449,0.03324937722791396,0.011147608569050234,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000913_d5072c6f/holistic/user_花_web_20260523_000913_d5072c6f_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_000903_3123d2db,花,25.82151222416384,72.54086502780646,46.71935280364262,0.038522415283876385,0.011446680164810909,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000903_3123d2db/holistic/user_花_web_20260523_000903_3123d2db_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_000852_b2c2f1de,花,27.922603588328037,74.6506385860551,46.72803499772706,0.03508213291658481,0.010210765962961728,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000852_b2c2f1de/holistic/user_花_web_20260523_000852_b2c2f1de_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260523_000032_5389521b,花,30.194433002398018,64.14536825428489,33.950935251886875,0.053282195920433095,0.010368796661009408,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_000032_5389521b/holistic/user_花_web_20260523_000032_5389521b_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232642_fe440fb9,花,30.09345557585741,78.94933115670099,48.85587558084359,0.028363670046606625,0.010797324049080289,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232642_fe440fb9/holistic/user_花_web_20260522_232642_fe440fb9_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232420_60da4112,花,27.86794013647761,67.87297562671601,40.0050354902384,0.04650386798394303,0.011148504173044391,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232420_60da4112/holistic/user_花_web_20260522_232420_60da4112_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232406_cac18708,花,15.171965001183638,66.6779262898882,51.50596128870457,0.048635547362506304,0.014745850431720362,full_sequence_with_action_window_diagnostics,False,28,30,10,8,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232406_cac18708/holistic/user_花_web_20260522_232406_cac18708_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232339_70e4794b,花,15.963775766074415,63.830619552552946,47.86684378647853,0.05387246165715072,0.014007461760248717,full_sequence_with_action_window_diagnostics,False,28,30,10,8,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232339_70e4794b/holistic/user_花_web_20260522_232339_70e4794b_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232319_7e3cc881,花,22.22132070890977,46.38803323509224,24.16671252618247,0.09217543973220725,0.011036141400034795,full_sequence_with_action_window_diagnostics,False,28,72,10,20,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232319_7e3cc881/holistic/user_花_web_20260522_232319_7e3cc881_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232256_781c0807,花,16.631682986313653,68.70303772651482,52.07135474020117,0.04504521245596611,0.014060734137415107,full_sequence_with_action_window_diagnostics,False,28,30,10,8,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232256_781c0807/holistic/user_花_web_20260522_232256_781c0807_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_232244_45d260ed,花,19.83783824974596,60.55045370170495,40.712615451958996,0.06020318676094767,0.01261277085746694,full_sequence_with_action_window_diagnostics,False,28,30,10,10,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_232244_45d260ed/holistic/user_花_web_20260522_232244_45d260ed_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_231304_9e8827a4,花,30.359517792715216,61.815044380381124,31.455526587665908,0.05772280974894903,0.011439196439734232,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231304_9e8827a4/holistic/user_花_web_20260522_231304_9e8827a4_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_231259_51a8c719,花,8.367694979597621,10.075546664367893,1.7078516847702723,0.27540705841640734,0.008724250976307855,full_sequence_with_action_window_diagnostics,False,28,6,10,4,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_231259_51a8c719/holistic/user_花_web_20260522_231259_51a8c719_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
webv3_20260522_231154_6a9287f4,花,24.033887020460305,74.99919825143809,50.96531123097778,0.03452313149876935,0.011256467185279602,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp_v3/webv3_20260522_231154_6a9287f4/holistic/user_花_webv3_20260522_231154_6a9287f4_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
webv3_20260522_231135_34e94281,花,27.93042756648688,60.885321752764064,32.95489418627719,0.05954136749338085,0.008567397253491253,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp_v3/webv3_20260522_231135_34e94281/holistic/user_花_webv3_20260522_231135_34e94281_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
webv3_20260522_231110_d2c7312c,花,32.17538334224322,76.33437787052976,44.15899452828654,0.03240561447626183,0.011348381419774354,full_sequence_with_action_window_diagnostics,False,28,15,10,7,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp_v3/webv3_20260522_231110_d2c7312c/holistic/user_花_webv3_20260522_231110_d2c7312c_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
webv2_20260522_230431_94f969b0,花,23.04370731340633,73.6074970492677,50.56378973586138,0.036770796403009065,0.010675364332554145,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp_v2/webv2_20260522_230431_94f969b0/holistic/user_花_webv2_20260522_230431_94f969b0_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_225852_a9aa43d6,花,13.545388114338172,70.76035441948883,57.21496630515066,0.041504556954511454,0.011943671143278744,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225852_a9aa43d6/holistic/user_花_web_20260522_225852_a9aa43d6_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_225845_b21e0f2e,花,20.14634694742057,69.78799046277976,49.64164351535919,0.04316498969163997,0.01145665020345555,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225845_b21e0f2e/holistic/user_花_web_20260522_225845_b21e0f2e_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_225823_46498d30,花,23.613415847637633,54.73847462984324,31.125058782205606,0.0723124018194695,0.007950177217012286,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225823_46498d30/holistic/user_花_web_20260522_225823_46498d30_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_225356_550e19fe,花,29.99669147386167,76.46482332950033,46.46813185563866,0.03220072519992605,0.010914448906914722,full_sequence_with_action_window_diagnostics,False,28,15,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_225356_550e19fe/holistic/user_花_web_20260522_225356_550e19fe_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
web_20260522_222243_a23d679c,花,57.392243184382174,56.898429639443926,-0.4938135449382486,0.06766829326085423,0.010662273126344707,full_sequence_with_action_window_diagnostics,False,28,12,10,6,,,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260522_222243_a23d679c/holistic/user_花_web_20260522_222243_a23d679c_holistic_results.json,/data/WYC/signLanguage/work/generated/scoring_mvp_run2/all_demo_step4_worker_cache_v2/results/花/花_holistic_results.json,
