word,variant,kind,passed,score,threshold,group,pattern,operation,changed_frame_count,wrist_z_abs_min,wrist_z_abs_max,expected_masked,wrist_identity_handling_ok,capture_quality,capture_reason,exception
跳,right_hand_landmarks_rotate_left_1_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,rotate_left_1,17,6.604931695619598e-05,0.001503879320807755,True,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_rotate_left_5_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,rotate_left_5,2,0.003195039927959442,0.0037703008856624365,True,True,score_valid,score_valid,
跳,right_hand_landmarks_rotate_left_5_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,rotate_left_5,17,0.0002388752473052591,0.008756333030760288,True,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_reverse_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,reverse,2,0.007009120658040047,0.009790103882551193,True,True,score_valid,score_valid,
跳,right_hand_landmarks_reverse_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,reverse,17,0.0002633279946167022,0.011986617930233479,True,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_swap_wrist_thumb_tip_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,swap_wrist_thumb_tip,2,0.00560500705614686,0.007259363774210215,True,True,score_valid,score_valid,
跳,right_hand_landmarks_swap_wrist_thumb_tip_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,swap_wrist_thumb_tip,17,0.0009295014897361398,0.01027050893753767,True,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_swap_wrist_index_mcp_sparse_masked,positive,True,81.64174594701753,75.0,right_hand_landmarks,sparse_visible,swap_wrist_index_mcp,2,0.003195039927959442,0.0037703008856624365,True,True,score_valid,score_valid,
跳,right_hand_landmarks_swap_wrist_index_mcp_full_recapture,diagnostic,True,0.23617115289684296,55.0,right_hand_landmarks,full_visible,swap_wrist_index_mcp,17,0.0002388752473052591,0.008756333030760288,True,True,needs_recapture,jump_two_hand_presence_low,
跳,right_hand_landmarks_adjacent_chain_swap_preserved,positive,True,85.0,70.0,right_hand_landmarks,full_visible,swap_index_middle_chain,17,5.878127762315444e-09,1.7383415240601607e-07,False,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_left_1_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,rotate_left_1,2,0.007336926180869341,0.008155538700520992,True,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_left_1_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,rotate_left_1,16,0.002626946195960045,0.009430433623492718,True,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_rotate_left_5_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,rotate_left_5,2,0.0057558538392186165,0.006841463968157768,True,True,score_valid,score_valid,
跳,left_hand_landmarks_rotate_left_5_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,rotate_left_5,16,0.0035779138561338186,0.008611271157860756,True,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_reverse_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,reverse,2,0.004651212133467197,0.008544541895389557,True,True,score_valid,score_valid,
跳,left_hand_landmarks_reverse_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,reverse,16,0.001414456986822188,0.011630892753601074,True,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_swap_wrist_thumb_tip_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,swap_wrist_thumb_tip,2,0.009206282906234264,0.01469616498798132,True,True,score_valid,score_valid,
跳,left_hand_landmarks_swap_wrist_thumb_tip_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,swap_wrist_thumb_tip,16,0.005541615188121796,0.01670880988240242,True,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_swap_wrist_index_mcp_sparse_masked,positive,True,84.67774033010186,75.0,left_hand_landmarks,sparse_visible,swap_wrist_index_mcp,2,0.0057558538392186165,0.006841463968157768,True,True,score_valid,score_valid,
跳,left_hand_landmarks_swap_wrist_index_mcp_full_recapture,diagnostic,True,2.1609837573499253,55.0,left_hand_landmarks,full_visible,swap_wrist_index_mcp,16,0.0035779138561338186,0.008611271157860756,True,True,needs_recapture,jump_two_hand_presence_low,
跳,left_hand_landmarks_adjacent_chain_swap_preserved,positive,True,98.46847701593097,70.0,left_hand_landmarks,full_visible,swap_index_middle_chain,16,2.9432975168219855e-08,1.1384183551399474e-07,False,True,score_valid,score_valid,
